date,node,type
2014-02-05 19:01:25,nodeid02.ret.org,t.0x0000012
2014-02-05 19:01:35,nodeid01.ret.org,t.0x0000012
2014-02-05 19:01:36,nodeid01.ret.org,t.0x0000012
2014-02-05 19:01:36,nodeid02.ret.org,t.0x0000012
2014-02-05 19:01:36,nodeid02.ret.org,t.0x0000012
2014-02-05 19:02:01,nodeid01.ret.org,t.0x0000012
2014-02-05 19:02:02,nodeid02.ret.org,t.0x0000012
2014-02-05 19:02:05,nodeid02.ret.org,t.0x0000012
2014-02-05 19:02:07,nodeid01.ret.org,t.0x0000012
2014-02-05 19:02:28,nodeIn01.ret.org,t.0x0000012
2014-02-05 19:02:29,nodeIn02.ret.org,t.0x0000012
2014-02-05 19:02:36,nodeIn02.ret.org,t.0x0000012
2014-02-05 19:02:39,nodeIn01.ret.org,t.0x0000012
2014-02-05 19:02:54,nodeIn01.ret.org,t.0x0000012
2014-02-05 19:02:54,nodeIn02.ret.org,t.0x0000012
2014-02-05 19:03:16,nodeIn02.ret.org,t.0x0000012
2014-02-05 19:03:20,nodeIn01.ret.org,t.0x0000012
2014-02-05 19:03:29,nodeIn02.ret.org,t.0x0000012
2014-02-05 19:03:31,nodeIn01.ret.org,t.0x0000012
2014-02-05 19:03:51,nodeIn01.ret.org,t.0x0000012
2014-02-05 19:03:51,nodeIn02.ret.org,t.0x0000012
2014-02-05 19:04:10,nodeIn01.ret.org,t.0x0000012
2014-02-05 19:04:10,nodeIn02.ret.org,t.0x0000012
2014-02-05 19:04:14,nodeIn02.ret.org,t.0x0000012
2014-02-05 19:04:15,nodeIn01.ret.org,t.0x0000012
2014-02-06 05:20:49,nodeIn01.ret.org,t.0x0000012
2014-02-06 05:46:42,nodeIn02.ret.org,t.0x0000012
2014-02-06 06:44:19,nodeIn02.ret.org,t.0x0000012
2014-02-06 07:42:42,nodeIn02.ret.org,t.0x0000012
2014-02-06 07:48:38,nodeIn01.ret.org,t.0x0000012
2014-02-06 08:01:12,nodeIn02.ret.org,t.0x0000012
2014-02-06 08:19:42,nodeIn02.ret.org,t.0x0000012
2014-02-06 08:19:48,nodeIn01.ret.org,t.0x0000012
2014-02-06 08:39:43,nodeIn02.ret.org,t.0x0000012
2014-02-06 10:04:23,nodeIn01.ret.org,t.0x0000012
2014-02-06 14:14:21,nodeIn01.ret.org,t.0x0000012
2014-02-06 16:20:12,nodeIn01.ret.org,t.0x0000012
2014-02-06 18:10:49,nodeIn02.ret.org,t.0x0000012
2014-02-06 19:00:54,nodeIn02.ret.org,t.0x0000012
2014-02-06 19:00:55,nodeIn01.ret.org,t.0x0000012
2014-02-06 19:01:00,nodeIn02.ret.org,t.0x0000012
2014-02-06 19:01:02,nodeIn01.ret.org,t.0x0000012
2014-02-06 20:15:01,nodeIn02.ret.org,t.0x0000012
2014-02-06 21:00:25,nodeid01.ret.org,t.0x0000012
2014-02-06 21:00:26,nodeid01.ret.org,t.0x0000012
2014-02-06 21:00:26,nodeid02.ret.org,t.0x0000012
2014-02-06 21:00:27,nodeid02.ret.org,t.0x0000012
2014-02-06 21:00:49,nodeid01.ret.org,t.0x0000012
2014-02-06 21:00:50,nodeid01.ret.org,t.0x0000012
2014-02-06 21:00:50,nodeid02.ret.org,t.0x0000012
2014-02-06 21:00:51,nodeid02.ret.org,t.0x0000012
2014-02-06 21:01:04,nodeIn01.ret.org,t.0x0000012
2014-02-06 21:01:07,nodeIn02.ret.org,t.0x0000012
2014-02-06 21:01:16,nodeIn02.ret.org,t.0x0000012
2014-02-06 21:01:17,nodeIn01.ret.org,t.0x0000012
2014-02-06 21:01:38,nodeIn01.ret.org,t.0x0000012
2014-02-06 21:01:38,nodeIn02.ret.org,t.0x0000012
2014-02-06 21:02:47,nodeIn02.ret.org,t.0x0000012
2014-02-06 21:02:50,nodeIn01.ret.org,t.0x0000012
2014-02-06 21:12:00,nodeIn01.ret.org,t.0x0000012
2014-02-06 21:56:05,nodeid01.ret.org,t.0x0000012
2014-02-06 21:56:06,nodeid01.ret.org,t.0x0000012
2014-02-06 21:56:06,nodeid02.ret.org,t.0x0000012
2014-02-06 21:56:07,nodeid02.ret.org,t.0x0000012
2014-02-06 21:56:24,nodeid01.ret.org,t.0x0000012
2014-02-06 21:56:25,nodeid01.ret.org,t.0x0000012
2014-02-06 21:56:25,nodeid02.ret.org,t.0x0000012
2014-02-06 21:56:26,nodeid02.ret.org,t.0x0000012
2014-02-06 23:27:45,nodeIn01.ret.org,t.0x0000012
2014-02-07 02:17:49,nodeIn01.ret.org,NONE
2014-02-07 04:16:59,nodeIn01.ret.org,NONE
2014-02-07 05:36:24,nodeIn02.ret.org,NONE
2014-02-07 06:32:44,nodeIn01.ret.org,NONE
2014-02-07 07:11:55,nodeIn01.ret.org,NONE
2014-02-07 07:44:05,nodeIn01.ret.org,NONE
2014-02-07 10:05:24,nodeid02.ret.org,NONE
2014-02-07 10:05:24,nodeid02.ret.org,NONE
2014-02-07 10:05:24,nodeid02.ret.org,NONE
2014-02-07 10:05:24,nodeid02.ret.org,NONE
2014-02-07 10:05:24,nodeid02.ret.org,NONE
2014-02-07 10:05:24,nodeid02.ret.org,NONE
2014-02-07 10:05:24,nodeid02.ret.org,NONE
2014-02-07 10:05:25,nodeid01.ret.org,NONE
2014-02-07 10:05:25,nodeid01.ret.org,NONE
2014-02-07 10:05:25,nodeid01.ret.org,NONE
2014-02-07 10:05:25,nodeid01.ret.org,NONE
2014-02-07 10:05:25,nodeid01.ret.org,NONE
2014-02-07 10:05:25,nodeid01.ret.org,NONE
2014-02-07 10:05:25,nodeid02.ret.org,NONE
2014-02-07 10:05:25,nodeid02.ret.org,NONE
2014-02-07 10:05:25,nodeid02.ret.org,NONE
2014-02-07 10:05:25,nodeid01.ret.org,NONE
2014-02-07 10:05:25,nodeid01.ret.org,NONE
2014-02-07 10:05:25,nodeid01.ret.org,NONE
2014-02-07 10:05:25,nodeid01.ret.org,NONE
2014-02-07 10:05:25,nodeid01.ret.org,NONE
2014-02-07 10:05:25,nodeid01.ret.org,NONE
2014-02-07 10:05:25,nodeid01.ret.org,NONE
2014-02-07 10:05:25,nodeid01.ret.org,NONE
2014-02-07 10:05:25,nodeid02.ret.org,NONE
2014-02-07 10:05:25,nodeid02.ret.org,NONE
2014-02-07 10:05:25,nodeid02.ret.org,NONE
2014-02-07 10:05:25,nodeid02.ret.org,NONE
2014-02-07 10:05:26,nodeid01.ret.org,NONE
2014-02-07 10:05:26,nodeid01.ret.org,NONE
2014-02-07 10:05:26,nodeid01.ret.org,NONE
2014-02-07 10:05:26,nodeid02.ret.org,NONE
2014-02-07 10:05:26,nodeid02.ret.org,NONE
2014-02-07 10:05:26,nodeid02.ret.org,NONE
2014-02-07 10:05:26,nodeid02.ret.org,NONE
2014-02-07 10:05:26,nodeid02.ret.org,NONE
2014-02-07 10:05:26,nodeid02.ret.org,NONE
2014-02-07 10:05:26,nodeid01.ret.org,NONE
2014-02-07 10:05:26,nodeid01.ret.org,NONE
2014-02-07 10:05:26,nodeid01.ret.org,NONE
2014-02-07 10:05:26,nodeid01.ret.org,NONE
2014-02-07 10:05:26,nodeid02.ret.org,NONE
2014-02-07 10:05:26,nodeid02.ret.org,NONE
2014-02-07 10:05:26,nodeid02.ret.org,NONE
2014-02-07 10:05:26,nodeid02.ret.org,NONE
2014-02-07 10:05:26,nodeid02.ret.org,NONE
2014-02-07 10:05:26,nodeid02.ret.org,NONE
2014-02-07 10:05:26,nodeid02.ret.org,NONE
2014-02-07 10:05:26,nodeid02.ret.org,NONE
2014-02-07 10:05:27,nodeid01.ret.org,NONE
2014-02-07 10:05:27,nodeid01.ret.org,NONE
2014-02-07 10:05:27,nodeid01.ret.org,NONE
2014-02-07 10:05:27,nodeid01.ret.org,NONE
2014-02-07 10:05:27,nodeid01.ret.org,NONE
2014-02-07 10:05:27,nodeid01.ret.org,NONE
2014-02-07 10:05:27,nodeid02.ret.org,NONE
2014-02-07 10:05:27,nodeid02.ret.org,NONE
2014-02-07 10:05:27,nodeid02.ret.org,NONE
2014-02-07 10:05:27,nodeid01.ret.org,NONE
2014-02-07 10:05:27,nodeid01.ret.org,NONE
2014-02-07 10:05:27,nodeid01.ret.org,NONE
2014-02-07 10:05:27,nodeid01.ret.org,NONE
2014-02-07 10:05:27,nodeid01.ret.org,NONE
2014-02-07 10:05:27,nodeid01.ret.org,NONE
2014-02-07 10:05:27,nodeid01.ret.org,NONE
2014-02-07 10:05:27,nodeid01.ret.org,NONE
2014-02-07 10:05:27,nodeid02.ret.org,NONE
2014-02-07 10:05:27,nodeid02.ret.org,NONE
2014-02-07 10:05:27,nodeid02.ret.org,NONE
2014-02-07 10:05:27,nodeid02.ret.org,NONE
2014-02-07 10:05:28,nodeid01.ret.org,NONE
2014-02-07 10:05:28,nodeid01.ret.org,NONE
2014-02-07 10:05:28,nodeid01.ret.org,NONE
2014-02-07 10:05:28,nodeid02.ret.org,NONE
2014-02-07 10:05:28,nodeid02.ret.org,NONE
2014-02-07 10:05:28,nodeid02.ret.org,NONE
2014-02-07 10:05:28,nodeid01.ret.org,NONE
2014-02-07 10:05:28,nodeid01.ret.org,NONE
2014-02-07 10:05:28,nodeid01.ret.org,NONE
2014-02-07 10:05:28,nodeid01.ret.org,NONE
2014-02-07 10:05:28,nodeid02.ret.org,NONE
2014-02-07 10:05:28,nodeid02.ret.org,NONE
2014-02-07 10:05:28,nodeid02.ret.org,NONE
2014-02-07 10:05:28,nodeid02.ret.org,NONE
2014-02-07 10:05:29,nodeid01.ret.org,NONE
2014-02-07 10:05:29,nodeid01.ret.org,NONE
2014-02-07 10:05:29,nodeid01.ret.org,NONE
2014-02-07 10:05:29,nodeid01.ret.org,NONE
2014-02-07 10:05:29,nodeid01.ret.org,NONE
2014-02-07 10:05:29,nodeid01.ret.org,NONE
2014-02-07 10:05:29,nodeid01.ret.org,NONE
2014-02-07 10:05:31,nodeid02.ret.org,NONE
2014-02-07 10:05:31,nodeid02.ret.org,NONE
2014-02-07 10:05:31,nodeid02.ret.org,NONE
2014-02-07 10:05:31,nodeid02.ret.org,NONE
2014-02-07 10:05:31,nodeid02.ret.org,NONE
2014-02-07 10:05:31,nodeid02.ret.org,NONE
2014-02-07 10:05:31,nodeid02.ret.org,NONE
2014-02-07 11:57:07,nodeIn02.ret.org,NONE
2014-02-07 12:41:18,nodeIn02.ret.org,NONE
2014-02-07 16:34:14,nodeIn02.ret.org,NONE
2014-02-07 20:10:11,nodeIn02.ret.org,NONE
2014-02-07 20:33:44,nodeIn01.ret.org,NONE
2014-02-07 20:47:15,node03.ret.org,NONE
2014-02-07 22:13:25,nodeIn02.ret.org,NONE
2014-02-07 23:34:04,nodeIn01.ret.org,NONE
2014-02-08 00:15:28,nodeIn01.ret.org,NONE
2014-02-08 00:47:30,nodeIn02.ret.org,NONE
2014-02-08 03:15:05,nodeIn02.ret.org,NONE
2014-02-08 05:18:19,nodeIn02.ret.org,NONE
2014-02-08 05:39:21,nodeIn01.ret.org,NONE
2014-02-08 06:45:12,nodeIn01.ret.org,NONE
2014-02-08 06:57:34,nodeIn01.ret.org,NONE
2014-02-08 07:16:02,nodeIn01.ret.org,NONE
2014-02-08 08:41:31,nodeIn02.ret.org,NONE
2014-02-08 09:43:52,nodeIn01.ret.org,NONE
2014-02-08 10:54:51,nodeIn01.ret.org,NONE
2014-02-08 14:18:06,nodeIn01.ret.org,NONE
2014-02-08 14:20:07,nodeIn02.ret.org,NONE
2014-02-08 16:25:15,nodeIn01.ret.org,NONE
2014-02-08 18:17:02,nodeIn01.ret.org,NONE
2014-02-08 20:37:29,nodeIn02.ret.org,NONE
2014-02-08 23:40:04,nodeIn02.ret.org,NONE
2014-02-08 23:49:59,nodeIn02.ret.org,NONE
2014-02-09 01:58:55,nodeIn01.ret.org,NONE
2014-02-09 07:09:32,nodeIn01.ret.org,NONE
2014-02-09 08:42:24,nodeIn02.ret.org,NONE
2014-02-09 10:36:30,nodeIn02.ret.org,NONE
2014-02-09 16:08:48,nodeIn01.ret.org,NONE
2014-02-09 19:03:49,nodeIn02.ret.org,NONE
2014-02-09 19:31:07,nodeIn01.ret.org,NONE
2014-02-09 22:27:02,nodeIn02.ret.org,NONE
2014-02-09 22:34:16,nodeIn02.ret.org,NONE
2014-02-09 22:39:49,nodeIn02.ret.org,NONE
2014-02-10 00:02:04,nodeIn01.ret.org,NONE
2014-02-10 09:06:16,nodeIn01.ret.org,NONE
2014-02-10 10:11:35,nodeIn01.ret.org,NONE
2014-02-10 10:14:10,nodeIn02.ret.org,NONE
2014-02-10 13:13:46,nodeIn02.ret.org,NONE
2014-02-10 18:19:01,nodeIn01.ret.org,NONE
2014-02-10 19:22:11,nodeIn02.ret.org,NONE
2014-02-11 00:16:25,nodeIn01.ret.org,NONE
2014-02-11 04:46:38,nodeIn01.ret.org,NONE
2014-02-11 06:30:25,nodeIn02.ret.org,NONE
2014-02-11 09:52:21,nodeIn01.ret.org,NONE
2014-02-11 09:52:21,nodeIn02.ret.org,NONE
2014-02-11 09:52:22,nodeIn02.ret.org,NONE
2014-02-11 09:52:26,nodeIn01.ret.org,NONE
2014-02-11 10:02:19,nodeIn01.ret.org,NONE
2014-02-11 10:02:19,nodeIn02.ret.org,NONE
2014-02-11 10:07:26,nodeIn01.ret.org,NONE
2014-02-11 10:07:26,nodeIn02.ret.org,NONE
2014-02-11 12:25:51,nodeIn01.ret.org,NONE
2014-02-11 13:35:19,nodeIn02.ret.org,NONE
2014-02-11 14:47:49,nodeIn02.ret.org,NONE
2014-02-11 14:47:50,nodeIn01.ret.org,NONE
2014-02-11 14:47:50,nodeIn02.ret.org,NONE
2014-02-11 14:47:50,nodeIn02.ret.org,NONE
2014-02-11 14:47:50,nodeIn02.ret.org,NONE
2014-02-11 14:47:51,nodeIn01.ret.org,NONE
2014-02-11 14:47:51,nodeIn01.ret.org,NONE
2014-02-11 14:47:51,nodeIn02.ret.org,NONE
2014-02-11 14:47:51,nodeIn02.ret.org,NONE
2014-02-11 14:47:52,nodeIn01.ret.org,NONE
2014-02-11 14:47:52,nodeIn01.ret.org,NONE
2014-02-11 14:47:52,nodeIn01.ret.org,NONE
2014-02-11 14:47:53,nodeIn01.ret.org,NONE
2014-02-11 14:47:53,nodeIn02.ret.org,NONE
2014-02-11 14:49:41,nodeIn01.ret.org,NONE
2014-02-11 14:49:41,nodeIn01.ret.org,NONE
2014-02-11 14:49:41,nodeIn02.ret.org,NONE
2014-02-11 14:49:41,nodeIn02.ret.org,NONE
2014-02-11 14:49:41,nodeIn02.ret.org,NONE
2014-02-11 14:49:42,nodeIn02.ret.org,NONE
2014-02-11 14:49:42,nodeIn02.ret.org,NONE
2014-02-11 14:49:42,nodeIn02.ret.org,NONE
2014-02-11 14:49:43,nodeIn01.ret.org,NONE
2014-02-11 14:49:43,nodeIn01.ret.org,NONE
2014-02-11 14:49:43,nodeIn01.ret.org,NONE
2014-02-11 14:49:44,nodeIn01.ret.org,NONE
2014-02-11 14:49:44,nodeIn01.ret.org,NONE
2014-02-11 14:49:44,nodeIn02.ret.org,NONE
2014-02-11 16:34:18,nodeIn01.ret.org,NONE
2014-02-11 16:40:08,nodeIn02.ret.org,NONE
2014-02-11 20:04:09,nodeIn01.ret.org,NONE
2014-02-11 22:35:34,nodeIn02.ret.org,NONE
2014-02-11 23:57:08,nodeIn01.ret.org,NONE
2014-02-12 03:20:23,nodeIn01.ret.org,t.0x0000012
2014-02-12 03:52:50,nodeIn02.ret.org,t.0x0000012
2014-02-12 05:15:19,nodeIn02.ret.org,t.0x0000012
2014-02-12 13:46:42,nodeIn02.ret.org,t.0x0000012
2014-02-12 13:46:43,nodeIn01.ret.org,t.0x0000012
2014-02-12 13:54:09,nodeIn01.ret.org,t.0x0000012
2014-02-12 13:54:11,nodeIn02.ret.org,t.0x0000012
2014-02-12 14:29:13,nodeIn01.ret.org,t.0x0000012
2014-02-12 16:25:34,nodeIn01.ret.org,t.0x0000012
2014-02-12 16:25:38,nodeIn02.ret.org,t.0x0000012
2014-02-12 16:26:07,nodeIn01.ret.org,t.0x0000012
2014-02-12 18:02:37,nodeIn01.ret.org,t.0x0000012
2014-02-12 18:53:11,nodeIn02.ret.org,t.0x0000012
2014-02-12 18:59:31,nodeIn01.ret.org,t.0x0000012
2014-02-12 18:59:34,nodeIn02.ret.org,t.0x0000012
2014-02-12 18:59:50,nodeIn02.ret.org,t.0x0000012
2014-02-12 18:59:53,nodeIn01.ret.org,t.0x0000012
2014-02-12 23:12:38,nodeIn01.ret.org,t.0x0000012
2014-02-12 23:12:39,nodeIn01.ret.org,t.0x0000012
2014-02-12 23:12:39,nodeIn01.ret.org,t.0x0000012
2014-02-12 23:12:39,nodeIn01.ret.org,t.0x0000014
2014-02-12 23:12:39,nodeIn02.ret.org,t.0x0000012
2014-02-12 23:12:39,nodeIn02.ret.org,t.0x0000012
2014-02-12 23:12:39,nodeIn02.ret.org,t.0x0000012
2014-02-12 23:12:39,nodeIn02.ret.org,t.0x0000014
2014-02-13 02:33:30,nodeIn01.ret.org,t.0x0000012
2014-02-13 03:41:08,nodeIn01.ret.org,t.0x0000012
2014-02-13 05:26:10,nodeIn01.ret.org,t.0x0000012
2014-02-13 08:32:19,nodeIn01.ret.org,t.0x0000012
2014-02-13 08:57:13,nodeIn01.ret.org,t.0x0000012
2014-02-13 08:57:14,nodeIn01.ret.org,t.0x0000012
2014-02-13 08:57:14,nodeIn02.ret.org,t.0x0000012
2014-02-13 08:57:15,nodeIn01.ret.org,t.0x0000012
2014-02-13 08:57:15,nodeIn02.ret.org,t.0x0000012
2014-02-13 08:57:15,nodeIn02.ret.org,t.0x0000012
2014-02-13 08:57:16,nodeIn01.ret.org,t.0x0000012
2014-02-13 08:57:16,nodeIn02.ret.org,t.0x0000012
2014-02-13 08:57:17,nodeIn01.ret.org,t.0x0000012
2014-02-13 08:57:17,nodeIn01.ret.org,t.0x0000012
2014-02-13 08:57:17,nodeIn02.ret.org,t.0x0000012
2014-02-13 08:57:17,nodeIn02.ret.org,t.0x0000012
2014-02-13 08:57:50,nodeIn01.ret.org,t.0x0000012
2014-02-13 08:57:50,nodeIn02.ret.org,t.0x0000012
2014-02-13 08:57:51,nodeIn01.ret.org,t.0x0000012
2014-02-13 08:57:51,nodeIn02.ret.org,t.0x0000012
2014-02-13 08:57:52,nodeIn01.ret.org,t.0x0000012
2014-02-13 08:57:52,nodeIn01.ret.org,t.0x0000012
2014-02-13 08:57:52,nodeIn02.ret.org,t.0x0000012
2014-02-13 08:57:53,nodeIn01.ret.org,t.0x0000012
2014-02-13 08:57:53,nodeIn02.ret.org,t.0x0000012
2014-02-13 08:57:53,nodeIn02.ret.org,t.0x0000012
2014-02-13 08:57:54,nodeIn01.ret.org,t.0x0000012
2014-02-13 08:57:55,nodeIn02.ret.org,t.0x0000012
2014-02-13 10:46:07,nodeIn01.ret.org,t.0x0000012
2014-02-13 12:31:10,nodeIn01.ret.org,t.0x0000012
2014-02-13 12:46:06,nodeIn02.ret.org,t.0x0000012
2014-02-13 15:37:19,nodeIn01.ret.org,t.0x0000012
2014-02-13 17:26:39,nodeIn01.ret.org,t.0x0000012
2014-02-13 17:59:53,nodeIn01.ret.org,t.0x0000012
2014-02-13 18:00:07,nodeIn01.ret.org,t.0x0000012
2014-02-13 18:00:23,nodeIn01.ret.org,t.0x0000012
2014-02-13 18:00:57,nodeIn01.ret.org,t.0x0000012
2014-02-13 18:01:12,nodeIn01.ret.org,t.0x0000012
2014-02-13 18:01:41,nodeIn01.ret.org,t.0x0000012
2014-02-13 18:01:56,nodeIn01.ret.org,t.0x0000012
2014-02-13 18:02:11,nodeIn01.ret.org,t.0x0000012
2014-02-13 18:02:29,nodeIn02.ret.org,t.0x0000012
2014-02-13 18:02:29,nodeIn02.ret.org,t.0x0000012
2014-02-13 18:02:29,nodeIn02.ret.org,t.0x0000012
2014-02-13 18:02:30,nodeIn02.ret.org,t.0x0000012
2014-02-13 18:02:30,nodeIn02.ret.org,t.0x0000012
2014-02-13 18:02:30,nodeIn02.ret.org,t.0x0000012
2014-02-13 18:02:30,nodeIn02.ret.org,t.0x0000012
2014-02-13 18:02:30,nodeIn02.ret.org,t.0x0000012
2014-02-13 18:02:51,nodeIn01.ret.org,t.0x0000012
2014-02-13 19:10:38,nodeIn02.ret.org,t.0x0000012
2014-02-13 20:09:47,nodeIn02.ret.org,t.0x0000012
2014-02-13 22:28:18,nodeid02.ret.org,t.0x0000019
2014-02-13 22:28:36,nodeBisId02.ret.org,t.0x0000201
2014-02-13 22:28:36,nodeBisId02.ret.org,t.0x0000201
2014-02-13 22:28:36,nodeBisId02.ret.org,t.0x0000201
2014-02-13 22:30:20,nodeid02.ret.org,t.0x00011
2014-02-13 22:32:08,nodeid02.ret.org,t.0x00035
2014-02-13 22:34:56,nodeid02.ret.org,t.0x0000019
2014-02-13 22:35:38,nodeid02.ret.org,t.0x0000012
2014-02-13 22:35:38,nodeid02.ret.org,t.0x0000012
2014-02-13 23:02:07,nodeid01.ret.org,t.0x0000019
2014-02-13 23:02:23,nodeBisId01.ret.org,t.0x0000201
2014-02-13 23:02:24,nodeBisId01.ret.org,t.0x0000201
2014-02-13 23:02:24,nodeBisId01.ret.org,t.0x0000201
2014-02-13 23:04:25,nodeid01.ret.org,t.0x00035
2014-02-13 23:08:37,nodeid01.ret.org,t.0x0000019
